10 Requests per second, 1 client	20 Request per second, 1 client	50 Requests per second, 2 clients	100 Requests per second, 5 clients	200 Request per second, 10 clients
4	8	46	20	37
5	3	39	47	30
5	4	47	39	29
4	5	39	31	26
5	5	46	29	22
4	3	38	26	19
4	3	49	45	16
2	4	41	39	15
5	4	47	32	10
4	3	40	29	42
5	3	46	21	35
4	4	38	46	34
4	4	48	37	32
5	5	38	30	30
3	3	47	28	27
5	3	39	25	24
5	4	47	46	22
5	5	38	33	18
5	4	47	29	15
6	3	37	26	30
6	4	47	24	24
3	5	38	46	22
3	4	47	33	20
2	5	38	28	18
3	3	47	26	14
5	4	39	23	10
4	5	46	46	29
4	5	39	30	27
5	4	49	26	25
5	2	39	24	44
5	5	46	21	41
5	5	40	46	37
5	5	47	29	33
4	4	38	23	31
5	5	49	21	28
5	3	38	20	26
5	4	47	46	24
4	4	40	29	23
5	5	46	24	16
4	5	37	21	33
5	5	48	19	31
4	5	35	43	29
3	5	47	30	23
4	7	39	26	22
4	5	48	22	17
5	3	40	17	16
5	5	47	41	13
3	5	37	23	11
4	5	48	19	8
5	5	38	15	49
4	5	47	14	46
5	5	39	5	41
3	3	49	8	37
5	3	40	30	31
4	3	46	25	29
5	4	40	23	19
3	4	47	21	17
4	3	41	18	10
5	3	47	28	54
5	4	38	26	50
4	4	48	23	46
5	5	38	21	46
3	4	47	17	43
5	3	39	31	35
7	3	49	28	31
4	5	38	23	27
4	4	46	19	26
4	5	39	18	16
4	3	48	32	55
2	3	39	28	49
4	3	45	26	46
4	5	37	23	44
3	3	48	21	40
5	5	40	30	36
4	4	46	23	29
5	3	40	21	24
3	5	46	19	24
2	4	39	17	15
5	4	47	25	7
2	4	34	22	58
5	5	43	21	56
4	3	34	19	54
6	4	48	17	50
5	4	35	28	46
3	2	47	22	41
3	4	34	18	36
3	4	48	15	32
4	3	34	13	19
5	4	46	32	9
5	3	34	26	54
3	3	48	21	49
3	2	35	18	47
3	2	48	16	44
4	3	34	33	39
5	3	46	30	34
5	2	33	24	31
4	3	47	22	28
2	4	35	20	20
4	3	47	31	12
3	4	35	25	7
3	5	49	23	5
2	3	35	21	52
5	5	47	18	47
4	4	36	34	42
5	5	47	28	39
4	4	37	26	33
4	5	48	24	32
3	3	36	23	22
3	4	46	35	14
4	5	36	32	10
7	3	46	28	7
3	3	35	25	33
5	3	48	24	28
4	4	36	36	23
5	3	47	29	20
8	4	38	26	13
4	4	46	24	12
5	3	37	22	6
5	3	48	37	11
3	3	37	35	61
4	3	46	32	58
5	4	38	30	56
3	4	13	27	53
4	4	5	36	52
5	2	5	29	51
2	3	32	27	44
3	3	31	26	40
3	4	40	24	37
2	4	40	32	35
2	3	55	29	13
3	3	47	28	6
3	3	16	26	57
2	2	46	24	55
2	5	27	33	49
3	5	47	28	46
3	3	29	23	42
4	5	47	21	41
2	3	30	19	35
3	2	48	33	34
3	5	29	31	18
4	4	48	27	11
5	5	30	24	10
7	5	48	22	7
4	2	30	34	57
4	3	46	32	55
3	5	29	30	48
5	4	46	28	46
3	4	29	27	43
3	2	48	12	41
3	3	31	10	20
5	3	47	8	18
4	2	32	7	15
3	3	47	6	14
6	4	31	8	12
4	3	46	50	51
4	3	31	47	50
5	4	48	45	46
3	3	32	44	44
3	3	48	13	39
2	3	31	5	22
3	3	46	52	20
5	4	33	48	19
3	6	48	36	16
3	3	35	12	14
4	3	46	7	7
3	3	36	5	54
4	4	48	49	51
3	5	34	35	49
5	3	48	14	46
2	4	36	11	24
3	2	49	9	21
3	3	35	48	19
